DATE,MABMM301USM189S
2004-10-01,6373300000000.0
2004-11-01,6399800000000.0
2004-12-01,6418300000000.0
2005-01-01,6424500000000.0
2005-02-01,6432800000000.0
2005-03-01,6441900000000.0
2005-04-01,6455900000000.0
2005-05-01,6473300000000.0
2005-06-01,6505800000000.0
2005-07-01,6537400000000.0
2005-08-01,6570200000000.0
2005-09-01,6604300000000.0
2005-10-01,6638600000000.0
2005-11-01,6655000000000.0
2005-12-01,6681900000000.0
2006-01-01,6724300000000.0
2006-02-01,6748600000000.0
2006-03-01,6762900000000.0
2006-04-01,6800100000000.0
2006-05-01,6806900000000.0
2006-06-01,6844900000000.0
2006-07-01,6886300000000.0
2006-08-01,6917100000000.0
2006-09-01,6944200000000.0
2006-10-01,6993300000000.0
2006-11-01,7028400000000.0
2006-12-01,7071600000000.0
2007-01-01,7109600000000.0
2007-02-01,7125300000000.0
2007-03-01,7159100000000.0
2007-04-01,7231300000000.0
2007-05-01,7245400000000.0
2007-06-01,7278600000000.0
2007-07-01,7309000000000.0
2007-08-01,7385100000000.0
2007-09-01,7403200000000.0
2007-10-01,7417200000000.0
2007-11-01,7441800000000.0
2007-12-01,7471600000000.0
2008-01-01,7505500000000.0
2008-02-01,7590600000000.0
2008-03-01,7656200000000.0
2008-04-01,7699200000000.0
2008-05-01,7711200000000.0
2008-06-01,7728900000000.0
2008-07-01,7775400000000.0
2008-08-01,7790200000000.0
2008-09-01,7859500000000.0
2008-10-01,7965300000000.0
2008-11-01,8015800000000.0
2008-12-01,8192100000000.0
2009-01-01,8273700000000.001
2009-02-01,8303100000000.0
2009-03-01,8369299999999.999
2009-04-01,8372900000000.0
2009-05-01,8430700000000.001
2009-06-01,8440500000000.0
2009-07-01,8445100000000.0
2009-08-01,8445000000000.0
2009-09-01,8444200000000.001
2009-10-01,8471100000000.0
2009-11-01,8500799999999.999
2009-12-01,8496000000000.0
2010-01-01,8458100000000.0
2010-02-01,8507400000000.0
2010-03-01,8504500000000.0
2010-04-01,8535200000000.001
2010-05-01,8589900000000.0
2010-06-01,8609000000000.0
2010-07-01,8618799999999.999
2010-08-01,8669100000000.0
2010-09-01,8700100000000.0
2010-10-01,8749400000000.0
2010-11-01,8770000000000.0
2010-12-01,8801800000000.0
2011-01-01,8823100000000.0
2011-02-01,8886900000000.0
2011-03-01,8943500000000.0
2011-04-01,9004900000000.0
2011-05-01,9075500000000.0
2011-06-01,9151000000000.0
2011-07-01,9316600000000.0
2011-08-01,9507600000000.0
2011-09-01,9528300000000.0
2011-10-01,9562100000000.0
2011-11-01,9612600000000.0
2011-12-01,9660100000000.0
2012-01-01,9733300000000.0
2012-02-01,9785700000000.0
2012-03-01,9830600000000.0
2012-04-01,9884600000000.0
2012-05-01,9928400000000.0
2012-06-01,9999300000000.0
2012-07-01,10051800000000.0
2012-08-01,10121300000000.0
2012-09-01,10200800000000.0
2012-10-01,10267300000000.0
2012-11-01,10337600000000.0
2012-12-01,10459700000000.0
2013-01-01,10479500000000.0
2013-02-01,10482000000000.0
2013-03-01,10550000000000.0
2013-04-01,10585900000000.0
2013-05-01,10628200000000.0
2013-06-01,10684900000000.0
2013-07-01,10730800000000.0
2013-08-01,10790200000000.0
2013-09-01,10841300000000.0
2013-10-01,10956700000000.0
2013-11-01,10969000000000.0
2013-12-01,11028800000000.0
2014-01-01,11078900000000.0
2014-02-01,11161000000000.0
2014-03-01,11200200000000.0
2014-04-01,11256900000000.0
2014-05-01,11326300000000.0
2014-06-01,11380700000000.0
2014-07-01,11439900000000.0
2014-08-01,11469400000000.0
2014-09-01,11502800000000.0
2014-10-01,11563400000000.0
2014-11-01,11604700000000.0
2014-12-01,11681500000000.0
2015-01-01,11745200000000.0
2015-02-01,11863900000000.0
2015-03-01,11879600000000.0
2015-04-01,11927400000000.0
2015-05-01,11960300000000.0
2015-06-01,12005800000000.0
2015-07-01,12058400000000.0
2015-08-01,12109500000000.0
2015-09-01,12164500000000.0
2015-10-01,12196800000000.0
2015-11-01,12286000000000.0
2015-12-01,12344000000000.0
2016-01-01,12470000000000.0
2016-02-01,12545600000000.0
2016-03-01,12609700000000.0
2016-04-01,12698400000000.0
2016-05-01,12765600000000.0
2016-06-01,12831900000000.0
2016-07-01,12892000000000.0
2016-08-01,12978200000000.0
2016-09-01,13037900000000.0
2016-10-01,13105400000000.0
2016-11-01,13176500000000.0
2016-12-01,13209600000000.0
2017-01-01,13282700000000.0
2017-02-01,13351400000000.0
2017-03-01,13420600000000.0
2017-04-01,13482900000000.0
2017-05-01,13534800000000.0
2017-06-01,13558900000000.0
2017-07-01,13621000000000.0
2017-08-01,13679600000000.0
2017-09-01,13722100000000.0
2017-10-01,13777400000000.0
2017-11-01,13804100000000.0
2017-12-01,13852300000000.0
2018-01-01,13868200000000.0
2018-02-01,13910200000000.0
2018-03-01,13965500000000.0
2018-04-01,13987700000000.0
2018-05-01,14041200000000.0
2018-06-01,14102600000000.0
2018-07-01,14137000000000.0
2018-08-01,14187400000000.0
2018-09-01,14214600000000.0
2018-10-01,14228500000000.0
2018-11-01,14241600000000.0
2018-12-01,14358800000000.0
2019-01-01,14430800000000.0
2019-02-01,14472300000000.0
2019-03-01,14510700000000.0
2019-04-01,14541000000000.0
2019-05-01,14632500000000.0
2019-06-01,14754800000000.0
2019-07-01,14833800000000.0
2019-08-01,14919800000000.0
2019-09-01,15004800000000.0
2019-10-01,15144200000000.0
2019-11-01,15249900000000.0
2019-12-01,15319100000000.0
2020-01-01,15401800000000.0
2020-02-01,15458700000000.0
2020-03-01,15988600000000.0
2020-04-01,17002500000000.0
2020-05-01,17835200000000.0
2020-06-01,18129300000000.0
2020-07-01,18277800000000.0
2020-08-01,18357400000000.0
2020-09-01,18575200000000.0
2020-10-01,18735700000000.0
2020-11-01,18969800000000.0
2020-12-01,19124800000000.0
2021-01-01,19372600000000.0
2021-02-01,19615500000000.0
2021-03-01,19853700000000.0
2021-04-01,20110500000000.0
2021-05-01,20417700000000.0
2021-06-01,20458900000000.0
2021-07-01,20620000000000.0
2021-08-01,20852300000000.0
2021-09-01,20991300000000.0
2021-10-01,21142000000000.0
2021-11-01,21343300000000.0
2021-12-01,21483300000000.0
2022-01-01,21659200000000.0
2022-02-01,21750300000000.0
2022-03-01,21809700000000.0
